HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_RATING,AWAY_TEAM_RATING,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.889,0.5,0.556,0.375,0.30000000000000004,0.09999999999999998,103,96,100,100,1
0.727,0.4,0.444,0.667,0.8333333333333334,0.4,97,92,99,97,1
0.5,0.333,0.571,0.5,0.033333333333333326,0.2666666666666667,96,105,97,96,1
0.125,0.667,0.111,0.111,0.4666666666666667,0.06666666666666665,101,102,90,104,1
0.875,0.556,0.6,0.429,1.0,0.6,100,91,106,102,1
0.6,0.455,0.636,0.429,0.1333333333333333,0.9666666666666667,95,92,109,105,0
0.6,0.556,0.5,0.571,0.43333333333333335,0.16666666666666663,101,100,103,97,1
0.444,0.444,0.6,0.286,0.3666666666666667,0.9333333333333333,100,104,103,104,0
0.9,0.889,0.25,0.222,0.7666666666666666,0.19999999999999996,114,100,98,105,1
0.625,0.4,0.625,0.6,0.7333333333333334,0.7,94,100,102,100,1
0.5,0.364,0.75,0.5,0.8,0.6666666666666667,101,101,100,99,0
0.571,0.571,0.667,0.5,0.5333333333333333,0.9,103,105,99,94,0
0.5,0.5,0.111,0.1,0.16666666666666663,0.06666666666666665,103,99,90,103,1
0.778,0.333,0.5,0.571,0.5,0.5333333333333333,104,101,103,106,1
0.571,0.455,0.75,0.4,0.2666666666666667,0.8333333333333334,96,97,97,91,1
0.364,0.429,0.667,0.4,0.8666666666666667,0.7333333333333334,100,107,95,99,0
0.6,0.375,0.5,0.455,0.9333333333333333,0.1333333333333333,103,103,94,93,0
0.556,0.333,0.455,0.25,0.033333333333333326,0.23333333333333328,97,103,104,108,0
0.222,0.667,0.636,0.556,0.4666666666666667,0.43333333333333335,101,102,102,99,1
0.636,0.5,0.429,0.182,0.9666666666666667,0.5666666666666667,109,104,96,104,1
0.556,0.333,0.444,0.6,0.09999999999999998,0.4,100,102,97,97,1
0.6,0.375,0.444,0.111,0.6,0.33333333333333337,104,102,102,108,0
0.889,0.556,0.625,0.545,1.0,0.7,100,91,101,101,1
0.667,0.538,0.9,0.5,0.6333333333333333,0.30000000000000004,100,96,104,97,1
0.545,0.5,0.5,0.5,0.16666666666666663,0.5333333333333333,101,98,102,106,1
0.8,0.333,0.9,0.444,0.5,0.30000000000000004,104,100,104,97,0
